sequence_id,synthetic_AT_rich_01,synthetic_AT_rich_02,synthetic_AT_rich_03,synthetic_AT_rich_04,synthetic_AT_rich_05,synthetic_AT_rich_06,synthetic_AT_rich_07,synthetic_AT_rich_08,synthetic_GC_rich_01,synthetic_GC_rich_02,synthetic_GC_rich_03,synthetic_GC_rich_04,synthetic_GC_rich_05,synthetic_GC_rich_06,synthetic_GC_rich_07,synthetic_GC_rich_08,synthetic_Balanced_01,synthetic_Balanced_02,synthetic_Balanced_03,synthetic_Balanced_04,synthetic_Balanced_05,synthetic_Balanced_06,synthetic_Balanced_07,synthetic_Balanced_08
synthetic_AT_rich_01,1.0,0.8650236086787894,0.9195927422611588,0.8928726377381866,0.9002515191019788,0.86032910491424,0.923380955780343,0.9045156983981252,0.1439817407556181,0.10869962822919912,0.10265759926198176,0.05412944185899037,0.11042420402250742,0.18170175574114095,0.09260659610426973,0.08425572306635914,0.52075170960578,0.5731386128439135,0.5760696413511581,0.5125175315688554,0.5240508945704505,0.5914745712397528,0.6447860791627832,0.6112771869250785
synthetic_AT_rich_02,0.8650236086787894,1.0,0.8890303642274634,0.9188328993268997,0.918007370996253,0.9098022416058198,0.907696439725706,0.951357576904642,0.1474739405170817,0.09255170146302187,0.08447942319824514,0.06780367351787463,0.09677892891032788,0.1338143254253544,0.09597777908282976,0.0828234441909729,0.44987983456669883,0.4708014431302515,0.4774627257782577,0.4293212951350618,0.42418627893350364,0.5179071974147316,0.5134980333030139,0.504557429589178
synthetic_AT_rich_03,0.9195927422611588,0.8890303642274634,1.0,0.8872289342715833,0.8882105651693076,0.892812023705999,0.9161007655769121,0.937512562129009,0.14989097865608828,0.10753548488000232,0.09478315677143312,0.062902990598901,0.10763777593120392,0.15447467014673935,0.11848206309639034,0.0895854273219187,0.5154679527035271,0.5443367032128125,0.5185129922788659,0.4978260415783886,0.49889726562037584,0.5579833122866693,0.5807940059211971,0.5663135377876702
synthetic_AT_rich_04,0.8928726377381866,0.9188328993268997,0.8872289342715833,1.0,0.9123335623958159,0.9343479716274574,0.8874095818395069,0.9258052861061526,0.12523970654566965,0.09713076669562629,0.08715690992432751,0.0543209469346941,0.0874172659272109,0.1357770810129946,0.08997889470552457,0.06990456168084155,0.4870122442709371,0.5170594165432173,0.5059399714411876,0.4709335588567701,0.49759217621660556,0.555520169393208,0.5707427086776556,0.5607311856563808
synthetic_AT_rich_05,0.9002515191019788,0.918007370996253,0.8882105651693076,0.9123335623958159,1.0,0.907504601878453,0.9228893042949671,0.934306497123923,0.14537466332259774,0.08622626774271966,0.08460678932806523,0.06200348039531081,0.10558219929911046,0.13830207117925866,0.09036554035262166,0.07402919549706295,0.46341903627206993,0.5046856296532934,0.46734448579672566,0.4285676946657652,0.4621950232511018,0.5115734044912399,0.5402160293806166,0.5393762759147485
synthetic_AT_rich_06,0.86032910491424,0.9098022416058198,0.892812023705999,0.9343479716274574,0.907504601878453,1.0,0.8796135205984695,0.9183916392147281,0.16537971381028713,0.12145493401857428,0.10499146978960516,0.07324710454970616,0.12987032201285087,0.17398445881721328,0.11526371642678453,0.09565389579861064,0.5436273781341253,0.5585588011299358,0.5525849994664914,0.5161610927932885,0.520567549184561,0.6074691263017413,0.597985573352893,0.5830660122704111
synthetic_AT_rich_07,0.923380955780343,0.907696439725706,0.9161007655769121,0.8874095818395069,0.9228893042949671,0.8796135205984695,1.0,0.9106471219296006,0.153404406038905,0.12384423902637927,0.09767204154224632,0.07620037391522212,0.12251214677258443,0.179428070856238,0.10449871943513855,0.10140200378299226,0.4916806465975418,0.5369590562567654,0.4924232585345143,0.46649183110592857,0.46971173567892593,0.5952433697421601,0.5593371816562839,0.5299005192869933
synthetic_AT_rich_08,0.9045156983981252,0.951357576904642,0.937512562129009,0.9258052861061526,0.934306497123923,0.9183916392147281,0.9106471219296006,1.0,0.1742336201566515,0.10937913537750261,0.1278229988391419,0.07964779230746877,0.12244008731887746,0.16610947199933546,0.1195827827436756,0.09998110176681582,0.4843327258201858,0.522075770721124,0.5202588852463711,0.4899521554458655,0.47803681407652193,0.5315284776213994,0.5817198305576458,0.5690705315172012
synthetic_GC_rich_01,0.1439817407556181,0.1474739405170817,0.14989097865608828,0.12523970654566965,0.14537466332259774,0.16537971381028713,0.153404406038905,0.1742336201566515,1.0,0.9323742864584051,0.8579873572152983,0.9155854302759593,0.9224566984550542,0.9080158840352643,0.8752362428970979,0.9249067303564037,0.6449362327577749,0.48492640326455017,0.5579752045679014,0.6170903277405506,0.7093091082826469,0.5614755918382927,0.5894827985968724,0.5357100346703535
synthetic_GC_rich_02,0.10869962822919912,0.09255170146302187,0.10753548488000232,0.09713076669562629,0.08622626774271966,0.12145493401857428,0.12384423902637927,0.10937913537750261,0.9323742864584051,1.0,0.8262240693949524,0.9476667305593385,0.9290530483695514,0.8736473134295497,0.8887899672722803,0.9149156424653422,0.5729832901418338,0.48050435533967906,0.5001890242703155,0.5581908376950778,0.6474332882671641,0.5116748273522554,0.5582137879099696,0.5121799874805051
